 0 0
 1.17244 0.899647
 2.34489 1.79929
 3.51733 2.69894
 4.68977 3.59859
 5.86222 4.49824
 7.03466 5.39788
 8.2071 6.29753
 9.37955 7.19718
 10.552 8.09683
 11.7244 8.99647
 12.8969 9.89612
 14.0693 10.7958
 15.2418 11.6954
 16.4142 12.5951
 17.5867 13.4947
 18.7591 14.3944
 19.9315 15.294
 21.104 16.1937
 22.2764 17.0933
 23.4489 17.9929
 24.6213 18.8926
 25.7938 19.7922
 26.9662 20.6919
 28.1386 21.5915
 29.3111 22.4912
 30.4835 23.3908
 31.656 24.2905
 32.8284 25.1901
 34.0009 26.0898
 35.1733 26.9894
 36.3457 27.8891
 37.5182 28.7887
 38.6906 29.6884
 39.8631 30.588
 41.0355 31.4877
 42.208 32.3873
 43.3804 33.287
 44.5528 34.1866
 45.7253 35.0862
 46.8977 35.9859
 48.0702 36.8855
 49.2426 37.7852
 50.4151 38.6848
 51.5875 39.5845
 52.76 40.4841
 53.9324 41.3838
 55.1048 42.2834
 56.2773 43.1831
 57.4497 44.0827
 58.6222 44.9824
 59.7946 45.882
 60.9671 46.7817
 62.1395 47.6813
 63.3119 48.581
 64.4844 49.4806
 65.6568 50.3803
 66.8293 51.2799
 68.0017 52.1796
 69.1742 53.0792
 70.3466 53.9788
 71.519 54.8785
 72.6915 55.7781
 73.8639 56.6778
 75.0364 57.5774
 76.2088 58.4771
 77.3813 59.3767
 78.5537 60.2764
 79.7261 61.176
 80.8986 62.0757
 82.071 62.9753
 83.2435 63.875
 84.4159 64.7746
 85.5884 65.6743
 86.7608 66.5739
 87.9333 67.4736
 89.1057 68.3732
 90.2781 69.2729
 91.4506 70.1725
 92.623 71.0721
 93.7955 71.9718
 94.9679 72.8714
 96.1404 73.7711
 97.3128 74.6707
 98.4852 75.5704
 99.6577 76.47
 100.83 77.3697
 102.003 78.2693
 103.175 79.169
 104.347 80.0686
 105.52 80.9683
 106.692 81.8679
 107.865 82.7676
 109.037 83.6672
 110.21 84.5669
 111.382 85.4665
 112.555 86.3662
 113.727 87.2658
 114.899 88.1654
 116.072 89.0651
 117.244 89.9647
 118.417 90.8644
 119.589 91.764
 120.762 92.6637
 121.934 93.5633
 123.107 94.463
 124.279 95.3626
 125.451 96.2623
 126.624 97.1619
 127.796 98.0616
 128.969 98.9612
 130.141 99.8609
 131.314 100.761
 132.486 101.66
 133.659 102.56
 134.831 103.459
 136.003 104.359
 137.176 105.259
 138.348 106.158
 139.521 107.058
 140.693 107.958
 141.866 108.857
 143.038 109.757
 144.211 110.657
 145.383 111.556
 146.555 112.456
 147.728 113.356
 148.9 114.255
 150.073 115.155
 151.245 116.055
 152.418 116.954
 153.59 117.854
 154.763 118.753
 155.935 119.653
 157.107 120.553
 158.28 121.452
 159.452 122.352
 160.625 123.252
 161.797 124.151
